Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000124467,CANCER_ONLY,,25576301;32938616;35051231
ENSG00000243130,CANCER_ONLY,,32157095;32938616;35051231;38480730
ENSG00000231924,RECURRENT_HEALTHY,bone marrow;lung,25576301;29242379;29557506;29789417;32157095;32938616;33858848;35051231;35580925
ENSG00000221826,CANCER_ONLY,,25576301;29242379;32157095;32938616;35051231;35580925
ENSG00000213218,CANCER_ONLY,,32157095;35580925
ENSG00000204941,RECURRENT_HEALTHY,bone marrow;lung,25576301;29557506;29789417;31154438;32157095;32938616;33858848;35051231
ENSG00000204450,CANCER_ONLY,,31844290
ENSG00000198759,SINGLETON_HEALTHY,central nervous system (cns),29557506;35051231
ENSG00000187772,CANCER_ONLY,,26783342;35051231;40113210
ENSG00000168594,SINGLETON_HEALTHY,blood,23481700;29242379;29557506;31530632;33912179;35051231
ENSG00000124092,RECURRENT_HEALTHY,blood;thyroid,20934997;24366607;26992070;29393594;29493099;29557506;30833945;31222486;32157095;32897882;33633747;33858848;38740147;40113210
ENSG00000184735,CANCER_ONLY,,30315122;30484775;31844290;32387766;32938616;33141586;33298915;34211107;34405274;35051231;38480730;40113210
ENSG00000163530,CANCER_ONLY,,35051231;35580925
ENSG00000132446,SINGLETON_HEALTHY,lung,29331515;31154438;33858848;35051231
ENSG00000176635,NO_MS_DATA,,24715725
ENSG00000198765,CANCER_ONLY,,25576301;29557506;29786170;35051231;35580925;38740147
ENSG00000095627,RECURRENT_HEALTHY,blood;spleen,24715725;26375851;28188227;29331515;29557506;32157095;34087483;35051231;35580925;38740147
ENSG00000187003,CANCER_ONLY,,34087483
ENSG00000148156,CANCER_ONLY,,34171305
ENSG00000152430,NO_MS_DATA,,16115862
ENSG00000137948,RECURRENT_HEALTHY,blood;cerebellum;esophagus,23481700;25576301;26992070;28514659;28649982;28904123;29242379;29393594;29493099;29557506;30315122;30779550;31154438;31217245;31844290;31848261;32157095;32265295;32387766;32488085;32938616;32983136;33141586;33858848;33912179;33968037;35051231;35580925;38480730
ENSG00000269058,RECURRENT_HEALTHY,bone marrow;central nervous system (cns);cerebellum;pancreas,25892735;29557506;33858848;35051231;38480730
ENSG00000152670,SINGLETON_HEALTHY,spleen,16112985;23481700;25810538;28188227;28514659;28649982;29557506;30315122;31154438;31844290;32161166;32357974;32387766;32938616;33858848;33968037;34211107;34509645;35051231
ENSG00000143006,CANCER_ONLY,,17697703;25645385;28514659;29393594;29437277;29508533;30192525;30315122;31092671;31844290;32161166;32357974;32488085;32938616;33141586;33298915;33912179;33968037;33981976;35051231;35318648;36010968;36241641;38480730
ENSG00000077800,CANCER_ONLY,,32938616;33141586;34211107;34509645;35051231
ENSG00000205777,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000166796,RECURRENT_HEALTHY,bladder;bone marrow;heart,26758079;26783342;26992070;27846572;28063628;28514659;28832583;29393594;29508533;29632046;30410026;31530632;32265295;32357974;32387766;32488085;32938616;32983136;33691108;33858848;33968037;33981976;34171305;35051231;35580925;36010968;36241641;37938771;38480730;40113210
ENSG00000213401,CANCER_ONLY,,10540322;11502003;12947009;23481700;24366607;24715725;25576301;25645385;25854582;25892735;26154972;26783342;27600516;27869121;27920218;28218747;28228285;29437277;30315122;30410026;31495665;31530632;31844290;31937595;32157095;32488085;32897882;32938616;33141586;33298915;33592498;33912179;33968037;34211107;34290406;36010968;36215666;37649599;38480730;39394480;40008881
ENSG00000156009,RECURRENT_HEALTHY,heart,25645385;25892735;26154972;27600516;27920218;28228285;29786170;31222486;31495665;31844290;32157095;32938616;33858848;34405274;36010968;38480730;39394480
ENSG00000177689,CANCER_ONLY,,26768311;26783342;32387766;32938616;33968037;33981976;34405274;34509645;35051231;36010968;38480730
ENSG00000162039,CANCER_ONLY,,26992070;32387766;34509645;35051231
ENSG00000166049,CANCER_ONLY,,20934997;23481700;25645385;27600516;29242379;29786170;31217245;31844290;32938616;33592498;34087483;35051231;37938771;38480730
ENSG00000125207,CANCER_ONLY,,28832583;29557506;32157095;35051231;36010968
ENSG00000244588,RECURRENT_HEALTHY,adrenal gland;blood;central nervous system (cns);small intestine;spleen,23481700;26992070;27841757;28218747;28228285;29242379;29437277;29557506;30315122;30429286;31154438;31844290;31848261;32157095;32161166;32488085;32938616;33141586;33392160;33592498;33858848;33968037;34185709;34509645;34561969;35051231;35318648;35580925;36010968;37938771;38480730
ENSG00000077935,RECURRENT_HEALTHY,blood;bone marrow;central nervous system (cns);skin,23481700;24714562;24715725;25576301;25892735;26992070;27846572;28514659;28832583;29242379;29493099;29557506;29632046;31844290;32157095;32897882;32938616;33936100;33968037;34087483;34171305;35051231;35580925;36010968;38480730;40008881
ENSG00000161860,CANCER_ONLY,,28834231;32357974;33298915;35051231;38480730
ENSG00000139351,CANCER_ONLY,,20934997;32157095
ENSG00000121101,CANCER_ONLY,,28228285;29557506;32157095;33141586;34561969;35051231
ENSG00000171794,CANCER_ONLY,,34171305;35051231
ENSG00000042813,SINGLETON_HEALTHY,lung,29242379;31092671;33858848;35051231
ENSG00000186075,CANCER_ONLY,,25892735;29393594;30410026
ENSG00000142698,SINGLETON_HEALTHY,spleen,26375851;28188227;33392160;33592498;35051231;35580925
ENSG00000215817,RECURRENT_HEALTHY,adrenal gland;aorta;blood;brain;central nervous system (cns);colon;esophagus;gallbladder;heart;kidney;liver;lung;lymph node;pancreas;spleen;trachea,23481700;25576301;26154972;26992070;27841757;27920218;28832583;28834231;28904123;29242379;29393594;29493099;29508533;29557506;29632711;29786170;31217245;31530632;31844290;31848261;31998317;32157095;32938616;32983136;33298915;33858848;33912179;33968037;34087483;34171305;35051231;35580925;38480730;40113210
ENSG00000162843,SINGLETON_HEALTHY,blood,27862975;30524438;31844290;33298915;35051231
ENSG00000170516,CANCER_ONLY,,26992070;28832583;28834231;29242379;31844290;32157095;32488085;34171305
