Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,ms_restriction,restriction,restriction_confidence,safety_flags
ANKRD7,,,cancer-testis antigen,ENSG00000106013,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9835,0.9835,0.9989,0.9989,ENST00000477532,protein_coding,True,True,True,True,True,834.8,False,860.1,0.2,0.0,thalamus,1.1,2,1.1,0.3,0.1,0.2,0.7,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,
RNF148,,,cancer-testis antigen,ENSG00000235631,CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8872,0.8872,1.0,1.0,ENST00000434824,protein_coding,True,True,True,True,True,47.9,False,49.3,0.1,0.0,cerebellum,9.9,2,9.9,0.2,0.4,0.3,0.3,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,brain
GARIN1B,,,cancer-testis antigen,ENSG00000135248,CTexploreR_CTP,no data,no data,no data,False,False,no data,0.9194,0.9194,1.0,1.0,ENST00000485070,protein_coding,True,True,True,True,True,91.3,False,93.9,0.0,0.0,midbrain,1.0,3,1.0,0.0,0.1,0.0,0.1,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,
TMEM210,,,cancer-testis antigen,ENSG00000185863,CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8324,0.8324,0.973,0.973,ENST00000413619,protein_coding,True,True,True,False,True,14.4,False,14.8,0.0,0.0,salivary gland,1.5,1,0.3,0.0,0.0,0.0,0.2,TESTIS,True,False,False,SOMATIC,MODERATE,NO_MS_DATA,TESTIS,LOW,
C12orf42,,,cancer-testis antigen,ENSG00000179088,CTexploreR_CTP,no data,no data,no data,False,True,no data,0.8227,0.8333,1.0,1.0,ENST00000378113,protein_coding,True,True,True,True,True,16.7,False,17.2,0.0,0.0,spleen,1.0,1,0.4,0.0,0.0,0.0,0.0,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,
CCDC196,,,cancer-testis antigen,ENSG00000196553,CTexploreR_CTP,no data,no data,no data,True,False,no data,0.9815,0.9815,1.0,1.0,ENST00000636229,protein_coding,True,True,True,True,True,5.3,False,5.4,0.0,0.0,cerebral cortex,0.4,0,0.4,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,
LRRC36,,,cancer-testis antigen,ENSG00000159708,CTexploreR_CTP,True,False,Enhanced,False,False,testis,0.775,0.775,0.8731,0.8731,ENST00000329956,protein_coding,True,False,False,False,True,34.3,False,35.3,0.1,6.1,lung,4.9,1,0.4,0.0,4.9,0.0,0.3,TESTIS,True,False,False,SOMATIC,PERMISSIVE,NO_MS_DATA,TESTIS,LOW,
DPEP3,,,cancer-testis antigen,ENSG00000141096,CTexploreR_CTP;daSilva2017;daSilva2017_protein,True,False,Enhanced,False,False,testis,0.8255,0.8259,0.9641,0.9641,ENST00000672962,protein_coding,True,True,True,False,True,45.7,False,47.0,0.0,0.1,spleen,2.0,2,0.4,0.1,0.3,0.1,0.1,TESTIS,True,False,False,SOMATIC,MODERATE,NO_MS_DATA,TESTIS,LOW,
FBXO39,,,cancer-testis antigen,ENSG00000177294,CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8575,0.8579,1.0,1.0,ENST00000321535,protein_coding,True,True,True,True,True,29.5,False,30.3,1.0,0.2,liver,0.8,0,0.5,0.1,0.2,0.8,0.0,NO_DATA,,,,REPRODUCTIVE,STRICT,NO_MS_DATA,REPRODUCTIVE,HIGH,
C17orf50,,,cancer-testis antigen,ENSG00000270806,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9303,0.9303,0.999,0.999,ENST00000605587,protein_coding,True,True,True,True,True,102.7,False,105.6,0.0,0.0,amygdala,1.2,2,1.2,0.0,0.1,0.0,0.2,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,
MEIOC,,,cancer-testis antigen,ENSG00000180336,CTexploreR_CTP,True,False,Enhanced,False,False,testis,0.6686,0.6686,0.9094,0.9094,ENST00000409122,protein_coding,True,True,False,False,True,46.2,False,47.7,0.3,0.1,skeletal muscle,2.2,3,1.6,0.4,0.2,0.7,0.2,TESTIS,True,False,False,SOMATIC,PERMISSIVE,NO_MS_DATA,TESTIS,LOW,
C20orf141,,,cancer-testis antigen,ENSG00000258713,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9688,0.9688,0.9953,0.9953,ENST00000603872,protein_coding,True,True,True,True,True,126.6,False,130.2,0.0,0.6,retina,1.6,1,1.6,0.0,0.0,0.0,0.0,NO_DATA,,,,SOMATIC,MODERATE,NO_MS_DATA,SOMATIC,MODERATE,
EFCAB8,,,cancer-testis antigen,ENSG00000215529,CTexploreR_CTP,no data,no data,no data,True,False,no data,0.5323,0.5397,1.0,1.0,ENST00000400522,protein_coding,True,True,True,True,True,3.3,False,3.4,0.0,0.0,appendix,0.3,0,0.1,0.0,0.1,0.1,0.1,NO_DATA,,,,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,
GAGE12C,,,cancer-testis antigen,ENSG00000237671,CTexploreR_CTP;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000420398,protein_coding,True,True,True,True,True,23.0,False,27.0,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,
