gene_id,symbol,cancer,cancer_type,cohort,samples,mean_ptpm,max_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5
ENSG00000054796,SPO11,Glioblastoma Multiforme (validation),Glioblastoma Multiforme,validation,58,0.073303448275862,1.9024,7,0.1206896551724138,1,0.0172413793103448,0,0.0,0,0.0
ENSG00000054796,SPO11,Head and Neck Squamous Cell Carcinoma (TCGA),Head and Neck Squamous Cell Carcinoma,TCGA,492,0.0032654471544715,0.2124,2,0.0040650406504065,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Kidney Chromophobe (TCGA),Kidney Chromophobe,TCGA,64,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Kidney Renal Clear Cell Carcinoma (TCGA),Kidney Renal Clear Cell Carcinoma,TCGA,521,0.0013408829174664,0.0847,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Kidney Renal Clear Cell Carcinoma (validation),Kidney Renal Clear Cell Carcinoma,validation,100,0.001899,0.1267,1,0.01,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Kidney Renal Papillary Cell Carcinoma (TCGA),Kidney Renal Papillary Cell Carcinoma,TCGA,282,0.0001063829787234,0.03,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Liver Hepatocellular Carcinoma (TCGA),Liver Hepatocellular Carcinoma,TCGA,362,0.0006828729281767,0.0971,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Liver Hepatocellular Carcinoma (validation),Liver Hepatocellular Carcinoma,validation,231,0.0047948051948051,0.2071,4,0.0173160173160173,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Lung Adenocarcinoma (TCGA),Lung Adenocarcinoma,TCGA,497,0.0008507042253521,0.0741,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Lung Adenocarcinoma (validation),Lung Adenocarcinoma,validation,105,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Lung Squamous Cell Carcinoma (TCGA),Lung Squamous Cell Carcinoma,TCGA,489,0.0034895705521472,0.8253,2,0.0040899795501022,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Lung Squamous Cell Carcinoma (validation),Lung Squamous Cell Carcinoma,validation,68,0.0052367647058823,0.1661,1,0.0147058823529411,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Ovary Serous Cystadenocarcinoma (TCGA),Ovary Serous Cystadenocarcinoma,TCGA,349,0.0097957020057306,1.9042,3,0.0085959885386819,1,0.0028653295128939,0,0.0,0,0.0
ENSG00000054796,SPO11,Ovary Serous Cystadenocarcinoma (validation),Ovary Serous Cystadenocarcinoma,validation,81,0.003016049382716,0.0407,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Pancreatic Adenocarcinoma (TCGA),Pancreatic Adenocarcinoma,TCGA,176,0.0006073863636363,0.0446,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Pancreatic Adenocarcinoma (validation),Pancreatic Adenocarcinoma,validation,80,0.0045725,0.3123,1,0.0125,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Prostate Adenocarcinoma (TCGA),Prostate Adenocarcinoma,TCGA,480,0.0006116666666666,0.1053,1,0.0020833333333333,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Rectum Adenocarcinoma (TCGA),Rectum Adenocarcinoma,TCGA,88,0.001940909090909,0.0574,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Rectum Adenocarcinoma (validation),Rectum Adenocarcinoma,validation,207,0.0755024154589372,14.0458,10,0.0483091787439613,1,0.0048309178743961,1,0.0048309178743961,1,0.0048309178743961
ENSG00000054796,SPO11,Skin Cuteneous Melanoma (TCGA),Skin Cuteneous Melanoma,TCGA,99,0.0001919191919191,0.019,0,0.0,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Stomach Adenocarcinoma (TCGA),Stomach Adenocarcinoma,TCGA,346,0.0185008670520231,0.8314,18,0.0520231213872832,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Testicular Germ Cell Tumor (TCGA),Testicular Germ Cell Tumor,TCGA,133,0.0640593984962406,7.659,3,0.0225563909774436,1,0.0075187969924812,1,0.0075187969924812,1,0.0075187969924812
ENSG00000054796,SPO11,Thyroid Carcinoma (TCGA),Thyroid Carcinoma,TCGA,495,0.0056137373737373,0.8893,2,0.004040404040404,0,0.0,0,0.0,0,0.0
ENSG00000054796,SPO11,Uterine Corpus Endometrial Carcinoma (TCGA),Uterine Corpus Endometrial Carcinoma,TCGA,176,0.0008238636363636,0.145,1,0.0056818181818181,0,0.0,0,0.0,0,0.0
