Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed
PABPC3,,,cancer-testis antigen,ENSG00000151846,daSilva2017_protein;CTexploreR_CTP,False,False,Approved,True,False,appendix; bone marrow; caudate; cerebellum; cerebral cortex; colon; duodenum; esophagus; gallbladder; hippocampus; lymph node; rectum; salivary gland; seminal vesicle; skin 2; small intestine; stomach 1; testis; tonsil; urinary bladder,0.7939,0.7939,1.0,1.0,ENST00000281589,protein_coding,True,True,True,True,False,35.7,False
PBK,,,cancer-testis antigen,ENSG00000168078,daSilva2017_protein,False,False,Enhanced,False,True,lymph node; placenta; testis; tonsil,0.4077,0.4709,0.4704,0.5334,ENST00000301905,protein_coding,False,False,False,False,False,68.2,False
PCDHA13,,,cancer-testis antigen,ENSG00000239389,daSilva2017_protein,no data,no data,no data,False,False,no data,0.0309,0.0309,0.2041,0.2041,ENST00000289272,protein_coding,False,False,False,False,False,3.4,False
PCDHA4,,,cancer-testis antigen,ENSG00000204967,daSilva2017_protein,False,False,Approved,False,False,appendix; breast; bronchus; cerebellum; cerebral cortex; colon; duodenum; epididymis; fallopian tube; gallbladder; hippocampus; kidney; nasopharynx; pancreas; rectum; seminal vesicle; small intestine; stomach 2; testis; tonsil; urinary bladder,0.0242,0.0288,0.3125,0.3125,ENST00000530339,protein_coding,False,False,False,False,False,2.0,False
PCDHA5,,,cancer-testis antigen,ENSG00000204965,daSilva2017_protein,False,False,Approved,False,False,caudate; cerebellum; cerebral cortex; hippocampus,0.037,0.037,0.2564,0.2564,ENST00000529859,protein_coding,False,False,False,False,False,2.8,False
PCDHA8,,,cancer-testis antigen,ENSG00000204962,daSilva2017_protein,no data,no data,no data,False,False,no data,0.0556,0.0556,0.5556,0.5556,ENST00000531613,protein_coding,False,False,False,False,False,1.8,True
PCDHA9,,,cancer-testis antigen,ENSG00000204961,daSilva2017_protein,no data,no data,no data,True,False,no data,0.2292,0.2292,1.0,1.0,ENST00000532602,protein_coding,True,True,True,True,True,1.1,True
PDHA2,,,cancer-testis antigen,ENSG00000163114,daSilva2017_protein,True,False,Approved,True,False,testis,1.0,1.0,1.0,1.0,ENST00000295266,protein_coding,True,True,True,True,True,58.4,False
PGK2,,,cancer-testis antigen,ENSG00000170950,daSilva2017_protein,True,False,Supported,True,False,ovary; testis,0.9974,0.9974,1.0,1.0,ENST00000304801,protein_coding,True,True,True,True,True,194.1,False
PIK3R3,,,cancer-testis antigen,ENSG00000117461,daSilva2017_protein,False,False,Approved,False,True,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; fallopian tube; gallbladder; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; pancreas; parathyroid gland; placenta; rectum; salivary gland; seminal vesicle; skin 1; skin 2; small intestine; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.071,0.0871,0.0736,0.0893,ENST00000420542,protein_coding,False,False,False,False,False,45.2,False
PKMYT1,,,cancer-testis antigen,ENSG00000127564,daSilva2017_protein,no data,no data,no data,False,True,no data,0.3004,0.3322,0.3692,0.4012,ENST00000431515,protein_coding,False,False,False,False,False,55.3,False
